Ano de eleição,Município,Partido,Código município,Nome candidato,Situação totalização,Votos nominais,Nome_deputado_padronizado,MUNICIPIO PADRONIZADO
2022,NOVA PÁDUA,PP,87220,SILVANA MARIA FRANCISCATTO COVATTI,Eleito,26,SILVANA MARIA FRANCISCATTO COVATTI,NOVA PADUA
2022,SELBACH,PP,89079,MARCUS VINÍCIUS VIEIRA DE ALMEIDA,Eleito,0,MARCUS VINICIUS VIEIRA DE ALMEIDA,SELBACH
2022,INHACORÁ,PP,86827,GUILHERME RECH PASIN,Eleito,0,GUILHERME RECH PASIN,INHACORA
2022,SERTÃO SANTANA,PP,87920,MARCUS VINÍCIUS VIEIRA DE ALMEIDA,Eleito,1369,MARCUS VINICIUS VIEIRA DE ALMEIDA,SERTAO SANTANA
2022,MOSTARDAS,PP,87513,MARCUS VINÍCIUS VIEIRA DE ALMEIDA,Eleito,283,MARCUS VINICIUS VIEIRA DE ALMEIDA,MOSTARDAS
2022,JAGUARÃO,MDB,87211,LUCIANO DA SILVA SILVEIRA,Eleito,1147,LUCIANO DA SILVA SILVEIRA,JAGUARAO
2022,QUARAÍ,PSDB,88099,NADINE TAGLIARI FARIAS ANFLOR,Eleito,22,NADINE TAGLIARI FARIAS ANFLOR,QUARAI
2022,CAPÃO DO CIPÓ,PSDB,89141,PEDRO OZORIO PEREIRA,Eleito,19,PEDRO OZORIO PEREIRA,CAPAO DO CIPO
2022,CANOAS,PSDB,85898,PEDRO OZORIO PEREIRA,Eleito,17,PEDRO OZORIO PEREIRA,CANOAS
2022,CONSTANTINA,PT,86134,GILBERTO JOSÉ SPIER VARGAS,Eleito,0,GILBERTO JOSE SPIER VARGAS,CONSTANTINA
2022,ESMERALDA,PT,86452,LUIZ FERNANDO MAINARDI,Eleito,1,LUIZ FERNANDO MAINARDI,ESMERALDA
2022,NOVA ESPERANÇA DO SUL,PSDB,85120,NERI ANDRADE PEREIRA JUNIOR,Eleito,0,NERI ANDRADE PEREIRA JUNIOR,NOVA ESPERANCA DO SUL
2022,PASSO DO SOBRADO,PSDB,87343,VALDIR BONATTO,Eleito,0,VALDIR BONATTO,PASSO DO SOBRADO
2022,PORTO ALEGRE,PP,88013,FREDERICO CANTORI ANTUNES,Eleito,749,FREDERICO CANTORI ANTUNES,PORTO ALEGRE
2022,RESTINGA SÊCA,PSDB,88137,VALDIR BONATTO,Eleito,0,VALDIR BONATTO,RESTINGA SECA
2022,SÃO VALÉRIO DO SUL,PSDB,87866,NADINE TAGLIARI FARIAS ANFLOR,Eleito,0,NADINE TAGLIARI FARIAS ANFLOR,SAO VALERIO DO SUL
2022,VILA FLORES,PSDB,86061,NADINE TAGLIARI FARIAS ANFLOR,Eleito,4,NADINE TAGLIARI FARIAS ANFLOR,VILA FLORES
2022,ESTÂNCIA VELHA,PSDB,86495,NADINE TAGLIARI FARIAS ANFLOR,Eleito,180,NADINE TAGLIARI FARIAS ANFLOR,ESTANCIA VELHA
2022,BENTO GONÇALVES,PSDB,85413,PEDRO OZORIO PEREIRA,Eleito,4,PEDRO OZORIO PEREIRA,BENTO GONCALVES
2022,BENJAMIN CONSTANT DO SUL,PSDB,88420,PEDRO OZORIO PEREIRA,Eleito,0,PEDRO OZORIO PEREIRA,BENJAMIN CONSTANT DO SUL
