Ano de eleição,Código município,Município,Nome candidato,Partido,Situação totalização,Votos nominais,Nome_deputado_padronizado,MUNICIPIO PADRONIZADO
2018,88889,PASSA SETE,LUCIANO LORENZINI ZUCCO,PSL,Eleito,14,TENENTE CORONEL ZUCCO,PASSA SETE
2018,84913,VANINI,LUCIANO LORENZINI ZUCCO,PSL,Eleito,19,TENENTE CORONEL ZUCCO,VANINI
2018,87602,SANTA CLARA DO SUL,LUCIANO LORENZINI ZUCCO,PSL,Eleito,32,TENENTE CORONEL ZUCCO,SANTA CLARA DO SUL
2018,85553,CAÇAPAVA DO SUL,LUCIANO LORENZINI ZUCCO,PSL,Eleito,218,TENENTE CORONEL ZUCCO,CACAPAVA DO SUL
2018,86940,MANOEL VIANA,APARECIDO MACEDO,PSL,Eleito,6,CAPITAO MACEDO,MANOEL VIANA
2018,85839,CÂNDIDO GODÓI,APARECIDO MACEDO,PSL,Eleito,58,CAPITAO MACEDO,CANDIDO GODOI
2018,85006,TRINDADE DO SUL,APARECIDO MACEDO,PSL,Eleito,9,CAPITAO MACEDO,TRINDADE DO SUL
2018,88374,SANTA BÁRBARA DO SUL,APARECIDO MACEDO,PSL,Eleito,6,CAPITAO MACEDO,SANTA BARBARA DO SUL
2018,89494,TUPARENDI,APARECIDO MACEDO,PSL,Eleito,50,CAPITAO MACEDO,TUPARENDI
2018,85049,DEZESSEIS DE NOVEMBRO,APARECIDO MACEDO,PSL,Eleito,34,CAPITAO MACEDO,DEZESSEIS DE NOVEMBRO
2018,88439,SANTANA DA BOA VISTA,APARECIDO MACEDO,PSL,Eleito,2,CAPITAO MACEDO,SANTANA DA BOA VISTA
2018,87998,PORTÃO,APARECIDO MACEDO,PSL,Eleito,41,CAPITAO MACEDO,PORTAO
2018,85600,VISTA ALEGRE,LUCIANO LORENZINI ZUCCO,PSL,Eleito,19,TENENTE CORONEL ZUCCO,VISTA ALEGRE
2018,86592,FELIZ,APARECIDO MACEDO,PSL,Eleito,23,CAPITAO MACEDO,FELIZ
2018,87424,PONTÃO,APARECIDO MACEDO,PSL,Eleito,4,CAPITAO MACEDO,PONTAO
2018,88358,SANANDUVA,APARECIDO MACEDO,PSL,Eleito,13,CAPITAO MACEDO,SANANDUVA
2018,86533,ESTRELA,APARECIDO MACEDO,PSL,Eleito,28,CAPITAO MACEDO,ESTRELA
2018,89451,TUCUNDUVA,APARECIDO MACEDO,PSL,Eleito,20,CAPITAO MACEDO,TUCUNDUVA
2018,88013,PORTO ALEGRE,LUCIANO LORENZINI ZUCCO,PSL,Eleito,3306,TENENTE CORONEL ZUCCO,PORTO ALEGRE
2018,88013,PORTO ALEGRE,LUCIANO LORENZINI ZUCCO,PSL,Eleito,1587,TENENTE CORONEL ZUCCO,PORTO ALEGRE
2018,85600,VISTA ALEGRE,RUY SANTIAGO IRIGARAY JUNIOR,PSL,Eleito,6,RUY IRIGARAY,VISTA ALEGRE
2018,87335,LIBERATO SALZANO,VILMAR LOURENÇO,PSL,Eleito,0,VILMAR LOURENCO,LIBERATO SALZANO
2018,89524,WESTFALIA,LUCIANO LORENZINI ZUCCO,PSL,Eleito,19,TENENTE CORONEL ZUCCO,WESTFALIA
2018,85898,CANOAS,LUCIANO LORENZINI ZUCCO,PSL,Eleito,2581,TENENTE CORONEL ZUCCO,CANOAS
2018,85332,BARÃO DE COTEGIPE,LUCIANO LORENZINI ZUCCO,PSL,Eleito,36,TENENTE CORONEL ZUCCO,BARAO DE COTEGIPE
2018,88390,SANTA CRUZ DO SUL,LUCIANO LORENZINI ZUCCO,PSL,Eleito,1108,TENENTE CORONEL ZUCCO,SANTA CRUZ DO SUL
2018,88188,DILERMANDO DE AGUIAR,LUCIANO LORENZINI ZUCCO,PSL,Eleito,28,TENENTE CORONEL ZUCCO,DILERMANDO DE AGUIAR
2018,88277,RONDINHA,MATEUS JOSÉ DE LIMA WESP,PSDB,Eleito,32,MATEUS WESP,RONDINHA
2018,87068,MINAS DO LEÃO,MATEUS JOSÉ DE LIMA WESP,PSDB,Eleito,3,MATEUS WESP,MINAS DO LEAO
2018,87319,LAVRAS DO SUL,LUCIANO LORENZINI ZUCCO,PSL,Eleito,47,TENENTE CORONEL ZUCCO,LAVRAS DO SUL
2018,88951,SÃO SEPÉ,LUCIANO LORENZINI ZUCCO,PSL,Eleito,148,TENENTE CORONEL ZUCCO,SAO SEPE
2018,86134,CONSTANTINA,MATEUS JOSÉ DE LIMA WESP,PSDB,Eleito,57,MATEUS WESP,CONSTANTINA
2018,87181,NICOLAU VERGUEIRO,PEDRO OZÓRIO PEREIRA,PSDB,Eleito,0,PEDRO OZORIO PEREIRA,NICOLAU VERGUEIRO
2018,89710,TAVARES,PEDRO OZÓRIO PEREIRA,PSDB,Eleito,0,PEDRO OZORIO PEREIRA,TAVARES
2018,85693,CAMAQUÃ,PEDRO OZÓRIO PEREIRA,PSDB,Eleito,612,PEDRO OZORIO PEREIRA,CAMAQUA
2018,88102,VILA NOVA DO SUL,PEDRO OZÓRIO PEREIRA,PSDB,Eleito,3,PEDRO OZORIO PEREIRA,VILA NOVA DO SUL
2018,86061,VILA FLORES,PEDRO OZÓRIO PEREIRA,PSDB,Eleito,0,PEDRO OZORIO PEREIRA,VILA FLORES
2018,88307,DOUTOR RICARDO,PEDRO OZÓRIO PEREIRA,PSDB,Eleito,1,PEDRO OZORIO PEREIRA,DOUTOR RICARDO
2018,87858,PASSO FUNDO,LUCIANO LORENZINI ZUCCO,PSL,Eleito,2181,TENENTE CORONEL ZUCCO,PASSO FUNDO
2018,85219,ARROIO DOS RATOS,RODRIGO MARINI MARONI,PODE,Eleito,19,RODRIGO MARONI,ARROIO DOS RATOS
2018,87203,NOVA BOA VISTA,VILMAR LOURENÇO,PSL,Eleito,0,VILMAR LOURENCO,NOVA BOA VISTA
2018,88161,BOA VISTA DO SUL,PEDRO OZÓRIO PEREIRA,PSDB,Eleito,0,PEDRO OZORIO PEREIRA,BOA VISTA DO SUL
2018,84751,NOVA ROMA DO SUL,PEDRO OZÓRIO PEREIRA,PSDB,Eleito,0,PEDRO OZORIO PEREIRA,NOVA ROMA DO SUL
2018,87122,MORRINHOS DO SUL,PEDRO OZÓRIO PEREIRA,PSDB,Eleito,8,PEDRO OZORIO PEREIRA,MORRINHOS DO SUL
2018,89290,TAQUARI,LUCIANO LORENZINI ZUCCO,PSL,Eleito,179,TENENTE CORONEL ZUCCO,TAQUARI
2018,89613,VIADUTOS,LUCIANO LORENZINI ZUCCO,PSL,Eleito,19,TENENTE CORONEL ZUCCO,VIADUTOS
2018,88811,SÃO LUIZ GONZAGA,LUCIANO LORENZINI ZUCCO,PSL,Eleito,288,TENENTE CORONEL ZUCCO,SAO LUIZ GONZAGA
2018,87629,SANTA TEREZA,RODRIGO MARINI MARONI,PODE,Eleito,0,RODRIGO MARONI,SANTA TEREZA
2018,89290,TAQUARI,SILVANA MARIA FRANCISCATTO COVATTI,PP,Eleito,30,SILVANA MARIA FRANCISCATTO COVATTI,TAQUARI
2018,86487,CANDIOTA,RUY SANTIAGO IRIGARAY JUNIOR,PSL,Eleito,32,RUY IRIGARAY,CANDIOTA
2018,88013,PORTO ALEGRE,RUY SANTIAGO IRIGARAY JUNIOR,PSL,Eleito,1882,RUY IRIGARAY,PORTO ALEGRE
2018,88013,PORTO ALEGRE,SILVANA MARIA FRANCISCATTO COVATTI,PP,Eleito,84,SILVANA MARIA FRANCISCATTO COVATTI,PORTO ALEGRE
2018,88455,SANT'ANA DO LIVRAMENTO,SILVANA MARIA FRANCISCATTO COVATTI,PP,Eleito,37,SILVANA MARIA FRANCISCATTO COVATTI,SANT'ANA DO LIVRAMENTO
2018,87190,JACUTINGA,SÉRGIO BERGONSI TURRA,PP,Eleito,141,SERGIO TURRA,JACUTINGA
2018,84743,TRÊS ARROIOS,RUY SANTIAGO IRIGARAY JUNIOR,PSL,Eleito,34,RUY IRIGARAY,TRES ARROIOS
2018,85782,IMIGRANTE,RUY SANTIAGO IRIGARAY JUNIOR,PSL,Eleito,12,RUY IRIGARAY,IMIGRANTE
2018,85685,IMBÉ,RUY SANTIAGO IRIGARAY JUNIOR,PSL,Eleito,331,RUY IRIGARAY,IMBE
2018,87475,MIRAGUAÍ,RODRIGO MARINI MARONI,PODE,Eleito,1,RODRIGO MARONI,MIRAGUAI
2018,87645,SANTO ANTÔNIO DO PALMA,ERIC LINS GRILO,DEM,Eleito,0,ERIC LINS,SANTO ANTONIO DO PALMA
2018,86541,CENTENÁRIO,ERIC LINS GRILO,DEM,Eleito,1,ERIC LINS,CENTENARIO
2018,85995,CAXIAS DO SUL,LUCIANO LORENZINI ZUCCO,PSL,Eleito,3174,TENENTE CORONEL ZUCCO,CAXIAS DO SUL
2018,86029,FAXINALZINHO,LUCIANO LORENZINI ZUCCO,PSL,Eleito,16,TENENTE CORONEL ZUCCO,FAXINALZINHO
2018,86967,MAQUINÉ,ERIC LINS GRILO,DEM,Eleito,5,ERIC LINS,MAQUINE
2018,85197,ARROIO DO MEIO,ERIC LINS GRILO,DEM,Eleito,2,ERIC LINS,ARROIO DO MEIO
2018,85227,CERRO GRANDE,ERIC LINS GRILO,DEM,Eleito,0,ERIC LINS,CERRO GRANDE
2018,88595,SANTO AUGUSTO,ERIC LINS GRILO,DEM,Eleito,1,ERIC LINS,SANTO AUGUSTO
2018,85995,CAXIAS DO SUL,LUCIANO LORENZINI ZUCCO,PSL,Eleito,2820,TENENTE CORONEL ZUCCO,CAXIAS DO SUL
2018,86827,INHACORÁ,LUCIANO LORENZINI ZUCCO,PSL,Eleito,3,TENENTE CORONEL ZUCCO,INHACORA
2018,84999,IPÊ,MATEUS JOSÉ DE LIMA WESP,PSDB,Eleito,1,MATEUS WESP,IPE
2018,85456,BOM JESUS,EDERILDO PAPARICO BACCHI,PR,Eleito,51,EDERILDO PAPARICO BACCHI,BOM JESUS
